#336699, #666666, #999999.
#FFFFFF, #CCCCCC, #555555, #000000, #9999FF, #3333FF, #000044, #CC9090, #CC6060, #CC0000. 
#9C9F84, #FFFFCC, #000000, #EEEEEE, #5F021F. 
#CEE5E9, #6AA4B6, #39676C, #5C827D, #798E84, #647461, #22373C, #837A5D.
#555555, #AF0909, #FC0A0A, #CCCCCC, #666666, #070707, #333333, #AD0909, #FFFFFF, #B00909.
#F5F5F5, #AE0909, #303030, #2A2A2A, #7D7D7D, #F0F0F0, #D8D8D8, #979797, #000000.
#999999, #C3D9FF, #E5ECF9, #0F0F0F, #535353, #B2B1B1, #282828, #B50909, #5588AA, #CC6600.
#009EE0, #FFED00, #E2007A, #000000, #EEEEEE.
#005B9A, #0191C8, #74C2E1, #4CD9D2, #FFDE00, #A19D97, #C0C0C0.
#4086AA, #91C3DC, #87907D, #AAB6A2, #555555, #666666. 
#FFC56C, #6EC5E9, #003A6F, #F24949, #F2F1F1, #445569. 
#3D577A, #677C97, #E3E6EB, #797D32, #AEBD63, #8F2831, #B36474.
#20B2AA, #30D5C8, #96DED1, #FFFFFF, #91A3B0, #536872, #36454F. 
#3D0B42, #474447, #EDED00, #85D437, #FF6600. 
#333333, #FF9900, #FFFFFF, #666666, #999999, #BBBBBB. 
#442244, #CCCCCC, #880033, #336677, #EEEAAA. 
#0191C8, #49AFCD, #5BB75B, #7FB981, #9568B3, #AE97C9, #FAA732, #F5D776, #C99663.
#B89D7F, #EB7A3D, #DA4F49, #BDC3C7, #ECF0F1, #414141. 
#FFCBB1, #D8FFB1, #B1FFB1, #B1FFD8, #B1FFFF, #B1D8FF, #B1B1FF, #D8B1FF. 
#3087B4, #143D55, #287AA9, #7E9234, #96AD3E, #CCCCCC. 
#771100, #CC6633, #FF9900, #9CD92B, #999999, #CCCCCC, #E00404.
#F4F5E7, #82A9D0, #6D8CA0, #BACFE4, #FF9E01, #454F8C. 
#F4F5E7, #82A9D0, #6D8CA0, #BACFE4, #FF9E01, #454F8C. 
#F58735, #3A5D73, #6CCB17, #488FC8, #BEBECF. 
